image_link,name,reg_price,sale_price,sale_stat,category
https://media.memoryexpress.com/Images/Products/MX70319/0?Size=Default,"860 EVO 2.5in SSD, SATA III, 1TB",199.99,139.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX80115-0?Size=Default,"Blue SN550 M.2 PCI-E NVMe SSD, 1TB",159.99,124.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX70318/0?Size=Default,"860 EVO 2.5in SATA III SSD, 500GB",119.99,74.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX68857/0?Size=Default,"Blue Series 3D NAND SATA III 2.5in Solid State Drive, 500GB",99.99,69.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX76126/0?Size=Default,"2TB BarraCuda HDD, SATA III w/ 256MB Cache",79.99,64.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX75358/0?Size=Default,"Black SN750 NVMe SSD M.2 PCI-E x4, 500GB",119.99,79.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX80114/0?Size=Default,"Blue SN550 M.2 PCI-E NVMe SSD, 500GB",99.99,64.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX65781/0?Size=Default,"SSDNow A400 SSD, 240GB",44.99,34.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX76118/0?Size=Default,"970 EVO Plus NVMe M.2 PCI-E x4 SSD, 1TB",269.99,189.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX75359/0?Size=Default,"Black SN750 NVMe SSD M.2 PCI-E x4, 1TB",229.99,149.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX65780/0?Size=Default,"SSDNow A400 SSD, 120GB",34.99,25.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX63850/0?Size=Default,"1TB BarraCuda HDD, SATA III w/ 64MB Cache",79.99,54.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX68876/0?Size=Default,"4TB BarraCuda HDD, SATA III w/ 256MB Cache",149.99,104.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX68859/0?Size=Default,"Blue Series 3D NAND SATA III 2.5in Solid State Drive, 1TB",174.99,149.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX77350/0?Size=Default,"Blue 2TB Desktop Hard Drive, SATA III w/ 256MB Cache",99.99,64.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX76115/0?Size=Default,"970 EVO Plus NVMe M.2 PCI-E x4 SSD, 500GB",159.99,109.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX76753/0?Size=Default,"SU630 Solid State Drive, 2.5in, SATA III,  240GB",44.99,39.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX60342/0?Size=Default,"Blue 4TB Desktop Hard Drive, SATA III w/ 64MB Cache",169.99,99.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX70317/0?Size=Default,"860 EVO 2.5"" SATA III 2.5in SSD, 250GB",74.99,69.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX68856/0?Size=Default,"Blue Series 3D NAND SATA III 2.5in Solid State Drive, 250GB",74.99,59.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX00113655/0?Size=Default,"870 QVO SATA III 2.5in SSD, 1TB",174.99,124.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX65782/0?Size=Default,"SSDNow A400 SSD, 480GB",74.99,59.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX76997/0?Size=Default,"8TB BarraCuda HDD, SATA III w/ 256MB Cache",249.99,184.99,on,Hardware
https://media.memoryexpress.com/Images/Products/MX79713/0?Size=Default,"4TB Backup Plus Portable Drive, USB 3.0, Gold",169.99,119.99,on,Hardware
