image_link,name,reg_price,sale_price,sale_stat,category
https://media.memoryexpress.com/Images/Products/MX11660/0?Size=Default,"Dust-Off Professional Jumbo Compressed Gas Duster, 17oz",12.99,12.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX34553/0?Size=Default,"Compressed Gas Duster, 7oz",7.99,7.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX30344/0?Size=Default,"Super Duster 152 Compressed Gas Duster, 400g",10.99,10.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX60955/0?Size=Default,"Expand Basic , 6 Outlet 4ft Extension Power Bar",10.99,10.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX1427/0?Size=Default,"Fabric Top Mouse Pad, Black",1.99,1.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX1428/0?Size=Default,"Fabric Top Mouse Pad, Grey",1.99,1.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX9323/0?Size=Default,Defend Home Theatre 9-Outlet Surge Protector,29.99,29.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX60956/0?Size=Default,6 Outlet Surge Protector 6ft,17.99,17.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX22908/0?Size=Default,Defend Flex 8 Surge Protector,29.99,29.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX63409/0?Size=Default,CSP604U 6-Outlet Professional Surge Protector w/ 2 USB Ports,24.99,24.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX60062/0?Size=Default,"Gaming MM300 Anti-Fray Cloth Mouse Pad, Extended Edition",44.99,19.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX80761/0?Size=Default,CR2032 Lithium Button Battery,2.99,2.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX1211/0?Size=Default,CR2032 CMOS Battery,2.99,2.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX1429/0?Size=Default,"Fabric Top Mouse Pad, Blue",1.99,1.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX408/0?Size=Default,Anti-Static Wrist Strap,14.99,14.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX1426/0?Size=Default,"Fabric Top Mouse Pad, Red",1.99,1.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX22436/0?Size=Default,"CD/DVD Paper Sleeves, 100 Pack",9.99,9.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX64167/0?Size=Default,"NexStar TX Single Docking Station for 2.5in / 3.5in Drives, USB 3.0, Black",24.99,24.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX18492/0?Size=Default,QcK Gaming Mouse Pad,14.99,14.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX75795/0?Size=Default,M.2 SSD Mounting Screws Kit for ASUS Motherboards,9.99,9.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX60155/0?Size=Default,"10 Outlet AC Power Bar w/ 5 Rotating Outlets, Surge & Spike Protection, Black",39.99,39.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX24750/0?Size=Default,LCD / Plasma Screen Cleaner,9.99,9.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX00113121/0?Size=Default,"NB-F80 17in - 30in Full Motion, Gas Strut Flexi Mount",49.99,39.99,on,Accessories + Misc.
https://media.memoryexpress.com/Images/Products/MX1534/0?Size=Default,7 Pcs Precision Screwdriver Computer Tool Kit,19.99,19.99,on,Accessories + Misc.
