image_link,name,reg_price,sale_price,sale_stat,category
https://media.memoryexpress.com/Images/Products/MX58357/0?Size=Default,Windows 10 Home (64 bit) OEM,149.99,149.99,on,Software
https://media.memoryexpress.com/Images/Products/MX58356/0?Size=Default,Windows 10 Pro (64 bit) OEM,189.99,189.99,on,Software
https://media.memoryexpress.com/Images/Products/MX79384/0?Size=Default,"Windows 10 Home 32/64 bit, USB Flash Drive Edition",189.99,189.99,on,Software
https://media.memoryexpress.com/Images/Products/MX81380/0?Size=Default,"Home & Business 2019 | One-time Purchase, 1 Person",319.99,319.99,on,Software
https://media.memoryexpress.com/Images/Products/MX81378/0?Size=Default,"Office Home & Student 2019 | One-time Purchase, 1 Person",169.99,169.99,on,Software
https://media.memoryexpress.com/Images/Products/MX81381/0?Size=Default,"Microsoft 365 Personal | 12-Month Subscription, 1 Person",79.99,79.99,on,Software
https://media.memoryexpress.com/Images/Products/MX79245/0?Size=Default,"Windows 10 Pro, 32/64 bit, USB Flash Drive Edition",264.99,264.99,on,Software
https://media.memoryexpress.com/Images/Products/MX45733/0?Size=Default,SSD & HDD Cloning Kit,29.99,29.99,on,Software
https://media.memoryexpress.com/Images/Products/MX69512/0?Size=Default,"NOD32 Antivirus v11.0, 1 User, 1 Year Subscription, Download Only",39.99,39.99,on,Software
https://media.memoryexpress.com/Images/Products/MX71913/0?Size=Default,"Malwarebytes Premium 3.0, 1 User, 1 Year License, Jewel Case Edition for Windows, Mac, Android, Chrome OS",39.99,39.99,on,Software
https://media.memoryexpress.com/Images/Products/MX81379/0?Size=Default,"Microsoft 365 Family | 12-Month Subscription, Up To 6 People",109.99,109.99,on,Software
https://media.memoryexpress.com/Images/Products/MX71051/0?Size=Default,"Internet Security v11.0, 1 User, 1 Year, Download Only",59.99,59.99,on,Software
https://media.memoryexpress.com/Images/Products/MX75891/0?Size=Default,"Malwarebytes Premium 3.0 for 3 Users, for 1 Year",59.99,59.99,on,Software
https://media.memoryexpress.com/Images/Products/MX71053/0?Size=Default,"Internet Security v11.0, 3 User, 1 Year, Download Only",79.99,79.99,on,Software
https://media.memoryexpress.com/Images/Products/MX75610/0?Size=Default,"Windows Server 2019 Essentials 64 bit, English, DVD, 25 Users, 1 Server, 1-2 CPUs, 1 Pack, OEM Edition",539.99,539.99,on,Software
https://media.memoryexpress.com/Images/Products/MX69513/0?Size=Default,"NOD32 Antivirus v11.0, 3 User, 1 Year Subscription, Download Only",59.99,59.99,on,Software
https://media.memoryexpress.com/Images/Products/MX61161/0?Size=Default,"Norton Security v3.0, OEM",29.99,29.99,on,Software
https://media.memoryexpress.com/Images/Products/MX80325/0?Size=Default,"True Image 2020 Backup and Personal Cyber Protection Software, for 1 Computer",49.99,49.99,on,Software
https://media.memoryexpress.com/Images/Products/MX75606/0?Size=Default,"Windows Server 2019 Standard 64-bit, 16 Cores, OEM",1124.99,1124.99,on,Software
https://media.memoryexpress.com/Images/Products/MX81382/0?Size=Default,"Microsoft 365 Business Standard | 12-Month Subscription, 1 Person",189.99,189.99,on,Software
https://media.memoryexpress.com/Images/Products/MX74098/0?Size=Default,"Office 365 Business Premium, 1 Year Subscription",179.99,179.99,on,Software
https://media.memoryexpress.com/Images/Products/MX75890/0?Size=Default,"True Image 2019 Software, Perpetual Software License for 1 Mac / Windows 10 Computer",39.99,39.99,on,Software
https://media.memoryexpress.com/Images/Products/MX79056/0?Size=Default,"Windows 10 Pro Workstation Edition, 64 bit, 1 License, DVD-ROM",389.99,389.99,on,Software
https://media.memoryexpress.com/Images/Products/MX75608/0?Size=Default,Windows Server 2019 Standard CAL Suite w/ 5x User CALs,279.99,279.99,on,Software
